episode,curriculum_level,scenario,steps,reward,rolling_avg_reward,loss,success_rate,blocked_action_frequency,rollback_count,containment_conflicts,policy_confidence,unsafe_action_count
150,1,LINE_FAULT,12,-405.02,-368.25,11546.7093,0.00,1.00,12,0,0.4167,12
151,2,REPLAY_ATTACK,12,14.97,-324.99,117.5745,1.00,0.92,12,0,0.1019,11
152,2,FDIA,12,69.06,-276.36,604.8907,1.00,0.92,11,0,0.1080,11
153,2,REPLAY_ATTACK,12,44.06,-275.80,210.2214,1.00,1.00,12,0,0.1051,12
154,2,REPLAY_ATTACK,12,39.06,-229.43,152.1456,1.00,1.00,12,2,0.1008,12
155,2,REPLAY_ATTACK,12,49.06,-182.81,320.0257,1.00,1.00,12,1,0.1038,12
156,2,FDIA,12,39.06,-137.18,126.6930,1.00,1.00,12,0,0.1059,12
157,2,FDIA,12,39.06,-91.55,125.1254,1.00,1.00,12,1,0.1024,12
158,2,FDIA,12,39.06,-47.66,112.4855,1.00,1.00,12,1,0.1043,12
159,2,REPLAY_ATTACK,12,29.06,-4.26,43.9340,1.00,1.00,12,1,0.1056,12
160,2,FDIA,12,24.06,38.65,33.3810,1.00,1.00,12,0,0.1053,12
161,3,COORDINATED_ATTACK,12,-424.38,-5.28,34968.1580,0.00,1.00,12,0,0.4167,12
162,2,FDIA,12,24.66,-9.72,113.9599,1.00,1.00,12,0,0.1028,12
163,2,REPLAY_ATTACK,12,29.06,-11.22,77.8232,1.00,1.00,12,1,0.1028,12
164,2,FDIA,12,29.06,-12.22,57.8423,1.00,1.00,12,1,0.0995,12
165,2,FDIA,12,39.06,-13.22,95.0222,1.00,1.00,12,0,0.1044,12
166,2,FDIA,12,24.06,-14.72,25.4847,1.00,1.00,12,1,0.1092,12
167,2,FDIA,12,34.06,-15.22,98.7268,1.00,1.00,12,2,0.1037,12
168,2,REPLAY_ATTACK,12,34.06,-15.72,70.6981,1.00,1.00,12,2,0.0986,12
169,2,REPLAY_ATTACK,12,29.06,-15.72,56.9910,1.00,1.00,12,0,0.1018,12
170,2,FDIA,12,44.06,-13.72,135.9634,1.00,1.00,12,1,0.1035,12
171,2,FDIA,12,29.06,31.62,168.4336,1.00,1.00,12,2,0.1052,12
172,3,COORDINATED_ATTACK,12,-424.38,-13.28,25906.0977,0.00,1.00,12,0,0.4167,12
173,2,REPLAY_ATTACK,12,44.66,-11.72,116.7738,1.00,1.00,12,0,0.1003,12
174,2,REPLAY_ATTACK,12,34.06,-11.22,104.0966,1.00,1.00,12,1,0.1080,12
175,2,FDIA,12,39.06,-11.22,84.7023,1.00,1.00,12,0,0.1058,12
176,2,FDIA,12,44.06,-9.22,140.1857,1.00,1.00,12,0,0.0996,12
177,2,REPLAY_ATTACK,12,24.06,-10.22,28.7832,1.00,1.00,12,1,0.1003,12
178,2,FDIA,12,39.06,-9.72,72.7004,1.00,1.00,12,2,0.1019,12
179,2,REPLAY_ATTACK,12,44.06,-8.22,140.1575,1.00,1.00,12,1,0.0964,12
180,2,FDIA,12,44.06,-8.22,121.2210,1.00,1.00,12,0,0.1023,12
181,2,FDIA,12,34.06,-7.72,84.7955,1.00,1.00,12,0,0.1005,12
182,2,FDIA,12,39.06,38.62,66.5250,1.00,1.00,12,2,0.0979,12
183,3,CASCADING_INSTABILITY,12,-423.73,-8.22,801568.9777,0.00,1.00,12,0,0.4167,12
184,2,FDIA,12,9.85,-10.64,211.6041,1.00,1.00,12,3,0.1049,12
185,2,FDIA,12,24.06,-12.14,187.0003,1.00,1.00,12,2,0.1042,12
186,2,REPLAY_ATTACK,12,89.06,-7.64,1168.1455,1.00,0.83,10,0,0.1043,10
187,2,REPLAY_ATTACK,12,52.49,-4.79,359.6155,1.00,0.92,11,1,0.1013,11
188,2,REPLAY_ATTACK,12,49.09,-3.79,261.2959,1.00,0.92,11,0,0.0986,11
189,2,FDIA,12,24.06,-5.79,82.0300,1.00,1.00,12,1,0.1063,12
190,2,REPLAY_ATTACK,12,39.06,-6.29,91.3200,1.00,1.00,12,2,0.1053,12
191,2,REPLAY_ATTACK,12,39.06,-5.79,86.1368,1.00,1.00,12,0,0.0998,12
192,2,REPLAY_ATTACK,12,39.06,-5.79,85.6633,1.00,1.00,12,0,0.0991,12
193,2,FDIA,12,24.06,38.99,78.8275,1.00,1.00,12,2,0.1015,12
194,3,COORDINATED_ATTACK,12,-424.38,-4.44,3185669.1811,0.00,1.00,12,0,0.4167,12
195,2,FDIA,12,14.66,-5.38,429.6093,1.00,1.00,12,1,0.0994,12
196,2,FDIA,12,17.48,-12.54,1559826.4051,1.00,0.92,11,0,0.1682,11
197,2,FDIA,12,17.87,-16.00,74.4575,1.00,1.00,12,1,0.1015,12
198,2,REPLAY_ATTACK,12,34.06,-17.50,84.1585,1.00,1.00,12,1,0.1006,12
199,2,REPLAY_ATTACK,12,39.06,-16.00,85.0263,1.00,1.00,12,1,0.1021,12
200,2,REPLAY_ATTACK,12,34.06,-16.50,113.9473,1.00,1.00,12,2,0.1042,12
201,2,REPLAY_ATTACK,12,44.06,-16.00,164.7728,1.00,1.00,12,0,0.1016,12
202,2,FDIA,12,39.06,-16.00,86.5847,1.00,1.00,12,1,0.1037,12
203,2,FDIA,12,39.06,-14.50,70.2865,1.00,1.00,12,1,0.1019,12
204,2,FDIA,12,39.06,31.84,81.6676,1.00,1.00,12,0,0.1065,12
205,3,COORDINATED_ATTACK,12,-424.38,-12.06,17540.9634,0.00,1.00,12,0,0.4167,12
206,2,REPLAY_ATTACK,12,39.66,-9.84,92.5457,1.00,1.00,12,0,0.0999,12
207,2,FDIA,12,39.06,-7.72,92.4879,1.00,1.00,12,1,0.1043,12
208,2,FDIA,12,44.06,-6.72,113.7231,1.00,1.00,12,2,0.1022,12
209,2,FDIA,12,44.06,-6.22,105.2972,1.00,1.00,12,1,0.1016,12
210,2,FDIA,12,44.06,-5.22,104.5173,1.00,1.00,12,0,0.0991,12
211,2,REPLAY_ATTACK,12,24.06,-7.22,230.6861,1.00,1.00,12,2,0.1038,12
212,2,REPLAY_ATTACK,12,29.06,-8.22,175.7568,1.00,1.00,12,1,0.1031,12
213,2,FDIA,12,29.06,-9.22,311.9362,1.00,1.00,12,1,0.1017,12
214,2,REPLAY_ATTACK,12,39.06,-9.22,75.8909,1.00,1.00,12,1,0.0998,12
215,2,REPLAY_ATTACK,12,44.06,37.62,102.3982,1.00,1.00,12,1,0.1039,12
216,3,COORDINATED_ATTACK,12,-424.38,-8.78,13251.8174,0.00,1.00,12,0,0.4167,12
217,2,REPLAY_ATTACK,12,44.66,-8.22,102.7312,1.00,1.00,12,1,0.0998,12
218,2,REPLAY_ATTACK,12,29.06,-9.72,54.9555,1.00,1.00,12,2,0.1004,12
219,2,FDIA,12,24.06,-11.72,56.0783,1.00,1.00,12,0,0.1015,12
220,2,REPLAY_ATTACK,12,39.06,-12.22,91.0572,1.00,1.00,12,1,0.1021,12
221,2,FDIA,12,39.06,-10.72,78.3843,1.00,1.00,12,1,0.1012,12
222,2,FDIA,12,39.06,-9.72,68.9053,1.00,1.00,12,0,0.1020,12
223,2,REPLAY_ATTACK,12,44.06,-8.22,103.3764,1.00,1.00,12,1,0.1004,12
224,2,REPLAY_ATTACK,12,39.06,-8.22,78.0998,1.00,1.00,12,0,0.1052,12
225,2,REPLAY_ATTACK,12,39.06,-8.72,90.5530,1.00,1.00,12,1,0.1036,12
226,2,FDIA,12,44.06,38.12,110.5585,1.00,1.00,12,2,0.1037,12
227,3,CASCADING_INSTABILITY,12,-423.73,-8.72,44403.3695,0.00,1.00,12,0,0.4167,12
228,2,FDIA,12,29.85,-8.64,88.3161,1.00,1.00,12,0,0.1040,12
229,2,REPLAY_ATTACK,12,39.06,-7.14,73.2152,1.00,1.00,12,2,0.1033,12
230,2,FDIA,12,39.06,-7.14,106.9898,1.00,1.00,12,0,0.1021,12
231,2,FDIA,12,44.06,-6.64,105.3668,1.00,1.00,12,0,0.1020,12
232,2,REPLAY_ATTACK,12,44.06,-6.14,115.0592,1.00,1.00,12,1,0.0991,12
233,2,FDIA,12,19.06,-8.64,76.5363,1.00,1.00,12,0,0.1063,12
234,2,REPLAY_ATTACK,12,49.06,-7.64,167.0694,1.00,1.00,12,1,0.1002,12
